Date,qsif Hybrid Long-Short Fund,Altiva Hybrid LongShort Fund ,qsif Equity Long Short Fund ,qsif Equity ExTop 100 LongShort Fund,iSIF Hybrid LongShort Fund ,iSIF Equity ExTop 100 LongShort Fund ,Titanium Hybrid LongShort Fund ,Magnum Hybrid Long Short Fund,Arudha Equity LongShort Fund,Arudha Hybrid LongShort Fund,Diviniti Equity Long Short Fund,DynaSIF Active Asset Allocator LongShort Fund,DynaSIF Equity Long Short Fund,Nifty 50,Sensex
06-11-2025,9.9994,10.0155,10.1001,,,,,9.9901,,,,,,24353.55078,78493.53906
04-11-2025,10.0133,10.0206,10.1404,,,,,9.999,,,,,,24364.84961,78520.29688
03-11-2025,10.0065,10.0206,10.1909,,,,,10.0143,,,,,,24576.59961,79273.32813
31-10-2025,10.0499,10.0131,10.1415,,,,,9.9992,,,,,,24378.09961,78516.49219
30-10-2025,10.099,10.012,10.1532,,,,,10.0227,,,,,,,
29-10-2025,10.0567,10.0088,10.1625,,,,,10.0336,,,,,,,
28-10-2025,10.0722,,10.1038,,,,,,,,,,,,
27-10-2025,10.0765,,10.1018,,,,,,,,,,,,
24-10-2025,10.0181,,10.0843,,,,,,,,,,,,
23-10-2025,10.0187,,,,,,,,,,,,,,
20-10-2025,10.0095,,,,,,,,,,,,,,
